title,slug,description,price,original_price,image_url,category,is_featured,features,tech_stack,demo_url,purchase_url,rating,sales_count
"Firebase Starter Kit","firebase-starter-kit","Complete Firebase starter with authentication, Firestore, storage, and cloud functions. Save development time.","199000","349000","https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800","Boilerplate","true","Authentication|Firestore DB|Cloud storage|Cloud functions|Email service|Analytics","React|Firebase|TypeScript","https://demo.firebase.com","https://gumroad.com/firebase-kit","4.8","456"
"Icon Pack 5000+","icon-pack-5000","Massive icon collection with 5000+ icons in multiple formats. Perfect for web and mobile projects.","79000","149000","https://images.unsplash.com/photo-1558655146-9f40138edfeb?w=800","Design","false","5000+ icons|SVG format|PNG export|Multiple styles|Figma plugin|Commercial license","Figma|SVG|PNG","https://demo.icons.com","https://gumroad.com/icon-pack","4.9","3456"
"Payment Gateway Integration","payment-gateway-integration","Complete payment solution with Stripe, PayPal, and local payment methods. PCI compliant.","299000","499000","https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=800","Plugin","true","Multiple gateways|Subscription|Webhooks|Invoice|Refunds|Dashboard","Node.js|Stripe API|PayPal SDK|Express","https://demo.payment.com","https://gumroad.com/payment-gateway","4.7","321"
"Social Media Dashboard","social-media-dashboard","Manage all your social media accounts from one dashboard. Schedule posts, analytics, and engagement tracking.","249000","449000","https://images.unsplash.com/photo-1611162617474-5b21e879e113?w=800","Tool","false","Multi-platform|Post scheduling|Analytics|Engagement|Reports|Team access","React|Node.js|MongoDB|Redis","https://demo.social.com","https://gumroad.com/social-dashboard","4.6","234"
"Documentation Generator","documentation-generator","Auto-generate beautiful documentation from your code. Support multiple languages and frameworks.","149000","249000","https://images.unsplash.com/photo-1542831371-29b0f74f9713?w=800","Tool","false","Auto-generate|Multi-language|Search|Themes|Markdown|API docs","Node.js|React|TypeScript","https://demo.docs.com","https://gumroad.com/doc-generator","4.5","567"
"Video Course Platform","video-course-platform","Complete learning management system with video hosting, quizzes, certificates, and payment integration.","499000","799000","https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=800","Platform","true","Video hosting|Quiz system|Certificates|Payment|Progress tracking|Admin panel","Next.js|Node.js|PostgreSQL|AWS S3","https://demo.course.com","https://gumroad.com/course-platform","5.0","123"
"Email Template Pack","email-template-pack","Responsive email templates for marketing, transactional, and newsletter emails. Works with all email clients.","99000","179000","https://images.unsplash.com/photo-1579275542618-a1dfed5f54ba?w=800","Template","false","20 templates|Responsive|All clients|Easy customize|Inline CSS|Tested","HTML|CSS|Mjml","https://demo.email.com","https://gumroad.com/email-templates","4.8","876"
"Project Management Tool","project-management-tool","Kanban board, gantt charts, time tracking, and team collaboration. Self-hosted or cloud.","349000","599000","https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=800","Tool","true","Kanban board|Gantt chart|Time tracking|Team chat|File sharing|Reports","Vue.js|Laravel|MySQL|WebSocket","https://demo.project.com","https://gumroad.com/project-tool","4.7","345"
"Restaurant POS System","restaurant-pos-system","Modern point of sale system for restaurants with order management, kitchen display, and inventory.","599000","999000","https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800","System","true","Order management|Kitchen display|Inventory|Reports|Multi-location|Offline mode","React Native|Node.js|PostgreSQL","https://demo.pos.com","https://gumroad.com/restaurant-pos","4.9","89"
"Crypto Trading Bot","crypto-trading-bot","Automated trading bot for cryptocurrency with multiple strategies and risk management. Binance compatible.","799000","1299000","https://images.unsplash.com/photo-1621761191319-c6fb62004040?w=800","Bot","true","Auto trading|Multiple strategies|Risk management|Backtesting|Alerts|Dashboard","Python|Binance API|PostgreSQL","https://demo.trading.com","https://gumroad.com/crypto-bot","4.6","67"
